listing_id,host_id,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
1134823,6225272,Centrum-West,Entire home/apt,,3,18,0.17,0
1145140,6101182,Zuid,Entire home/apt,,5,28,0.27,0
1145866,6127483,Bos en Lommer,Private room,80.0,1,375,2.57,236
1149289,2480643,Centrum-Oost,Entire home/apt,180.0,2,99,0.68,179
1149380,6300541,Bijlmer-Centrum,Private room,158.0,1,782,5.55,231
1149694,6302268,Bos en Lommer,Entire home/apt,,3,74,0.5,0
1155386,6299692,De Pijp - Rivierenbuurt,Entire home/apt,150.0,7,68,0.47,222
1158865,6250938,De Baarsjes - Oud-West,Entire home/apt,224.0,3,27,0.19,179
1159534,506601,Centrum-Oost,Entire home/apt,799.0,4,30,0.21,72
1162769,6368949,Oud-Oost,Entire home/apt,349.0,4,18,0.13,102
1174506,6428213,De Pijp - Rivierenbuurt,Entire home/apt,147.0,6,49,0.34,135
1182421,3136773,Oud-Noord,Entire home/apt,,3,14,0.3,0
1182656,6469558,Oud-Oost,Entire home/apt,,2,136,0.93,1
1190198,6506010,Zuid,Entire home/apt,463.0,10,16,0.11,177
1195666,6534317,De Baarsjes - Oud-West,Entire home/apt,550.0,2,52,0.36,26
1196088,6536417,Oud-Noord,Entire home/apt,180.0,2,611,4.24,204
1201747,6564574,De Baarsjes - Oud-West,Entire home/apt,,2,69,0.47,0
1201952,6565457,Oostelijk Havengebied - Indische Buurt,Entire home/apt,,2,22,0.18,0
1223171,6673715,De Baarsjes - Oud-West,Private room,191.0,2,574,3.93,292
1225622,6449836,De Baarsjes - Oud-West,Entire home/apt,400.0,6,63,0.43,177
1234387,2311301,Zuid,Entire home/apt,360.0,5,7,0.31,50
1236227,6739792,Centrum-West,Entire home/apt,627.0,1,396,2.71,206
1246242,6739095,Oud-Noord,Entire home/apt,302.0,2,49,0.36,14
1260229,6863370,Centrum-West,Entire home/apt,288.0,3,84,0.6,30
1262157,6873206,Zuid,Entire home/apt,484.0,2,42,0.3,213
1267645,6900127,Centrum-Oost,Entire home/apt,,2,38,0.26,0
1271700,2826060,De Baarsjes - Oud-West,Entire home/apt,428.0,2,37,0.26,29
1272352,6925102,Bos en Lommer,Private room,138.0,3,468,3.24,196
1299652,3573065,De Pijp - Rivierenbuurt,Entire home/apt,,3,87,0.6,0
1303321,246493,De Pijp - Rivierenbuurt,Private room,101.0,4,119,0.84,8
1308382,7113252,De Baarsjes - Oud-West,Entire home/apt,,2,7,0.05,0
1311373,7126883,De Baarsjes - Oud-West,Entire home/apt,500.0,4,32,0.22,184
1323521,5720215,Westerpark,Entire home/apt,,3,12,0.09,0
1331157,7218607,IJburg - Zeeburgereiland,Entire home/apt,360.0,2,24,0.2,189
1338064,2968287,Oostelijk Havengebied - Indische Buurt,Private room,,5,40,0.33,0
1350096,4905127,Oud-Oost,Private room,100.0,2,176,1.22,263
1350246,4905127,Oud-Oost,Private room,89.0,2,251,1.77,265
1358042,7371529,Noord-Oost,Private room,68.0,2,680,4.73,233
1364013,7403304,De Baarsjes - Oud-West,Entire home/apt,,4,29,0.21,0
1366058,7220997,Oud-Noord,Entire home/apt,,2,76,0.53,0
1375601,7453922,De Baarsjes - Oud-West,Private room,,4,11,0.28,0
1375612,3040748,Noord-Oost,Private room,87.0,2,224,1.55,329
1377662,3607736,Bos en Lommer,Private room,,3,37,0.26,0
1380019,7474002,Centrum-Oost,Entire home/apt,248.0,3,4,0.4,54
1383369,7393137,Westerpark,Entire home/apt,151.0,3,160,1.11,1
1394668,7538251,De Baarsjes - Oud-West,Private room,121.0,3,251,1.74,0
1397317,7547999,De Pijp - Rivierenbuurt,Entire home/apt,622.0,3,48,0.36,337
1402541,7570689,Centrum-Oost,Private room,118.0,2,805,5.57,135
1408035,2539835,De Aker - Nieuw Sloten,Shared room,,3,36,0.27,0
1427610,7677579,Geuzenveld - Slotermeer,Entire home/apt,,5,6,0.1,0
1429701,1610324,Centrum-West,Entire home/apt,188.0,2,551,3.81,226
1432378,7681233,De Baarsjes - Oud-West,Entire home/apt,,3,34,0.25,0
1443515,7621004,Oostelijk Havengebied - Indische Buurt,Entire home/apt,264.0,5,21,0.15,16
1447217,7767867,Bos en Lommer,Private room,,4,321,2.25,45
1448920,1657577,Westerpark,Entire home/apt,,3,11,0.08,0
1454784,6681879,De Pijp - Rivierenbuurt,Entire home/apt,256.0,4,56,0.43,72
1468473,4355186,Bos en Lommer,Entire home/apt,163.0,3,142,0.99,47
1482038,7928859,Centrum-West,Private room,,3,68,0.52,0
1482851,3877342,Westerpark,Private room,162.0,2,144,1.02,162
1484348,6126617,De Pijp - Rivierenbuurt,Entire home/apt,180.0,5,77,0.57,50
1505436,3671340,De Baarsjes - Oud-West,Entire home/apt,400.0,7,38,0.27,152
1511360,8071702,De Baarsjes - Oud-West,Entire home/apt,160.0,2,99,0.72,93
1521776,4878850,De Baarsjes - Oud-West,Entire home/apt,,4,35,0.24,0
1524993,8136794,Centrum-West,Entire home/apt,251.0,2,104,0.73,0
1532428,7515735,Centrum-West,Entire home/apt,,3,21,0.15,0
1534317,3498674,Geuzenveld - Slotermeer,Private room,81.0,4,371,2.77,346
1534620,6839428,Centrum-West,Entire home/apt,225.0,3,39,0.27,8
1537852,8192727,De Baarsjes - Oud-West,Entire home/apt,,4,15,0.11,0
1558627,8296118,Zuid,Entire home/apt,,2,26,0.18,0
1567732,1259411,De Pijp - Rivierenbuurt,Entire home/apt,193.0,2,97,0.68,164
1567891,4380449,Zuid,Entire home/apt,162.0,3,95,0.66,4
1577065,6383528,De Baarsjes - Oud-West,Entire home/apt,,4,13,0.09,3
1580186,8405599,Centrum-West,Entire home/apt,387.0,30,139,0.97,40
1586071,8447951,Bos en Lommer,Private room,,4,45,0.31,0
1601408,8534655,De Pijp - Rivierenbuurt,Entire home/apt,450.0,3,315,2.22,327
1603794,4173309,Centrum-West,Entire home/apt,201.0,3,85,0.72,4
1605387,1125467,Oostelijk Havengebied - Indische Buurt,Entire home/apt,,3,30,0.21,0
1610986,8578849,Centrum-Oost,Entire home/apt,276.0,2,58,0.41,163
1620658,5004150,Oud-Oost,Entire home/apt,,3,43,0.3,0
1630438,8664912,De Pijp - Rivierenbuurt,Private room,94.0,2,404,2.85,246
1630603,1899420,Zuid,Private room,88.0,1,585,4.09,157
1631878,8670477,Zuid,Entire home/apt,475.0,6,73,0.51,239
1639387,6212243,Oostelijk Havengebied - Indische Buurt,Entire home/apt,,2,3,0.02,0
1645571,1011032,De Pijp - Rivierenbuurt,Entire home/apt,400.0,3,27,0.19,140
1649932,7915637,Centrum-Oost,Entire home/apt,,4,8,0.09,0
1657879,8787804,De Baarsjes - Oud-West,Entire home/apt,,3,15,0.11,0
1662676,8692172,Centrum-West,Entire home/apt,,15,20,0.14,0
1677381,8873574,Centrum-West,Private room,142.0,2,619,4.34,27
1708187,9012822,De Pijp - Rivierenbuurt,Entire home/apt,,5,47,0.35,0
1708637,6673155,De Pijp - Rivierenbuurt,Private room,109.0,3,363,2.67,301
1713147,9035487,De Pijp - Rivierenbuurt,Entire home/apt,303.0,7,23,0.16,160
1713474,7356864,De Baarsjes - Oud-West,Entire home/apt,,1,289,2.37,0
1719227,9064219,Oud-Noord,Private room,94.0,1,1,0.49,167
1723463,8329753,Watergraafsmeer,Entire home/apt,,5,22,0.16,0
1723551,9085127,Centrum-Oost,Private room,105.0,4,488,3.54,6
1731246,9121131,De Pijp - Rivierenbuurt,Entire home/apt,450.0,2,48,0.35,76
1733772,9133729,Oud-Noord,Entire home/apt,176.0,3,121,0.86,125
1734564,9136787,Centrum-West,Entire home/apt,221.0,3,75,0.53,2
1734582,9136823,De Baarsjes - Oud-West,Entire home/apt,229.0,5,51,0.51,42
1734769,9137568,Geuzenveld - Slotermeer,Entire home/apt,425.0,4,62,0.44,363
1767048,9287447,De Baarsjes - Oud-West,Entire home/apt,187.0,3,74,0.53,0
1767627,4215680,Westerpark,Entire home/apt,,4,8,0.12,7
1771760,2205770,Bos en Lommer,Private room,96.0,4,382,2.69,6
1783461,2117711,Oud-Oost,Entire home/apt,,2,11,0.08,0
1786144,620111,Centrum-Oost,Private room,160.0,2,299,2.62,266
1791751,9400716,Bos en Lommer,Entire home/apt,,3,14,0.4,1
1792271,4976553,Westerpark,Entire home/apt,263.0,3,47,0.33,176
1793971,9412285,Oud-Noord,Entire home/apt,111.0,2,295,2.17,231
1797364,9426449,Slotervaart,Private room,107.0,2,442,3.28,268
1798944,8691762,Centrum-West,Private room,80.0,3,412,3.12,260
1798945,9434039,Centrum-Oost,Entire home/apt,310.0,3,110,0.86,145
1812527,4416629,Watergraafsmeer,Entire home/apt,135.0,2,13,0.1,0
1814121,9502480,Osdorp,Private room,130.0,2,977,6.89,344
1825214,7234260,Westerpark,Entire home/apt,233.0,2,11,0.41,354
1825443,4405873,Watergraafsmeer,Entire home/apt,,5,1,0.2,0
1828391,9566467,Noord-West,Entire home/apt,,3,25,0.23,20
1830345,3347747,Centrum-Oost,Entire home/apt,284.0,2,55,0.4,32
1831427,7803724,Centrum-Oost,Entire home/apt,136.0,2,16,0.13,1
1845443,9641407,Westerpark,Entire home/apt,,2,69,0.49,0
1848312,9654680,De Baarsjes - Oud-West,Entire home/apt,148.0,2,7,0.19,8
1848477,3509817,De Pijp - Rivierenbuurt,Entire home/apt,,7,28,0.2,0
1849652,9660687,Westerpark,Entire home/apt,,3,2,0.2,0
1849795,6813652,Centrum-West,Entire home/apt,,3,38,0.27,0
1859255,9426449,Slotervaart,Private room,113.0,2,469,3.5,302
1863996,9720300,Bos en Lommer,Entire home/apt,,3,78,0.58,0
1886198,517541,Oud-Oost,Entire home/apt,180.0,2,93,0.68,38
1889863,4197303,Centrum-West,Entire home/apt,,14,99,0.71,0
1892532,7134355,Oud-Oost,Entire home/apt,162.0,3,31,0.23,12
1894944,9846631,De Pijp - Rivierenbuurt,Entire home/apt,495.0,2,52,0.38,359
1901845,9426449,Slotervaart,Private room,225.0,2,58,0.43,253
1901877,9874890,Centrum-West,Private room,181.0,3,470,3.44,309
1904291,8612814,Westerpark,Entire home/apt,,3,103,0.74,0
1911182,7679262,Oostelijk Havengebied - Indische Buurt,Private room,93.0,1,364,2.67,150
1912704,9920818,Centrum-West,Entire home/apt,282.0,3,96,0.87,57
1914964,8982547,Centrum-West,Entire home/apt,,300,28,0.2,364
1919184,9948828,De Baarsjes - Oud-West,Entire home/apt,272.0,4,86,0.7,22
1921050,9957140,Centrum-West,Private room,151.0,30,34,0.25,228
1927634,9314105,Oostelijk Havengebied - Indische Buurt,Entire home/apt,322.0,3,47,0.35,24
1928474,9988208,Noord-West,Entire home/apt,214.0,5,17,0.13,11
1929777,9790923,De Pijp - Rivierenbuurt,Entire home/apt,,3,29,0.27,0
1938510,3576012,Oostelijk Havengebied - Indische Buurt,Entire home/apt,249.0,3,106,0.78,12
1943465,10052583,De Baarsjes - Oud-West,Entire home/apt,,5,41,0.3,0
